Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
1,1,Jonas Vingegaard,climber,Jumbo - Visma,8.2,0.00,2,3.00,1,600.00,7,1959.00,21,22590,2765,2802.00
2,2,Wout van Aert,sprinter,Jumbo - Visma,11.5,0.00,1,444.00,16,342.00,10,1500.00,21,23314,2822,2536.00
3,3,Tadej Pogačar,captain,UAE Team Emirates,11.8,0.00,2,28.00,2,316.00,7,1594.00,21,23989,3327,2018.00
4,4,Michael Matthews,support,Team BikeExchange - Jayco,7.3,0.00,0,140.00,2,96.00,3,1256.00,21,18840,9841,1632.00
5,5,Jumbo - Visma,manager,Jumbo - Visma,11,0.00,0,0.00,0,0.00,0,1560.00,12,18985,6464,1560.00
6,6,Simon Geschke,support,Cofidis,5,0.00,1,160.00,4,792.00,14,340.00,21,13384,5287,1472.00
7,7,Geraint Thomas,climber,Ineos Grenadiers,7.5,0.00,0,0.00,0,228.00,6,1131.00,21,17986,6636,1389.00
8,8,Tom Pidcock,youth,Ineos Grenadiers,6,0.00,0,4.00,1,288.00,2,948.00,21,16473,6552,1340.00
9,9,Hugo Houle,support,Israel - Premier Tech,4.2,0.00,0,116.00,3,192.00,3,844.00,21,1544,439,1292.00
10,10,Jasper Philipsen,sprinter,Alpecin - Fenix,9.8,0.00,0,160.00,7,0.00,0,1012.00,21,10071,4033,1172.00
11,11,Magnus Cort Nielsen,tempo,EF Education - EasyPost,6.3,0.00,1,234.00,5,99.00,11,510.00,14,14696,13061,1053.00
12,12,Alberto Bettiol,support,EF Education - EasyPost,6,0.00,0,112.00,3,36.00,1,736.00,21,10435,5037,1024.00
13,13,Neilson Powless,climber,EF Education - EasyPost,5.5,0.00,0,105.00,5,306.00,4,555.00,21,6103,3540,996.00
14,14,Fred Wright,youth,Bahrain Victorious,5.2,0.00,0,140.00,3,0.00,0,852.00,21,3590,1434,992.00
15,15,Matteo Jorgenson,youth,Movistar Team,4.6,0.00,0,112.00,3,144.00,3,712.00,21,3910,1727,968.00
16,16,David Gaudu,climber,Groupama - FDJ,7.6,0.00,0,12.00,1,90.00,4,861.00,21,4789,3259,963.00
17,17,Alexey Lutsenko,support,Astana Qazaqstan Team,6.5,0.00,0,0.00,0,284.00,7,672.00,21,7887,4445,956.00
18,18,Brandon McNulty,youth,UAE Team Emirates,6.3,0.00,0,16.00,2,216.00,3,468.00,21,6509,3802,920.00
19,19,UAE Team Emirates,manager,UAE Team Emirates,10.5,0.00,0,0.00,0,0.00,0,900.00,11,6506,4250,900.00
20,20,Gulio Ciccone,climber,Trek - Segafredo,7.5,0.00,0,57.00,3,558.00,5,171.00,21,2339,1692,816.00
21,21,Mads Pedersen,sprinter,Trek - Segafredo,7.9,0.00,0,96.00,4,42.00,2,612.00,21,18375,11406,800.00
22,22,Bob Jungels,tempo,AG2R Citroën Team,5.6,0.00,0,39.00,2,162.00,2,576.00,21,10403,4897,777.00
23,23,Valentin Madouas,support,Groupama - FDJ,5.6,0.00,0,0.00,0,156.00,3,612.00,21,1520,932,768.00
24,24,Christophe Laporte,sprinter,Jumbo - Visma,7.5,0.00,0,174.00,9,0.00,0,464.00,21,2335,1623,738.00
25,25,Thibaut Pinot,captain,Groupama - FDJ,8.5,0.00,0,24.00,3,318.00,7,340.00,21,8210,4442,732.00
26,26,Team BikeExchange - Jayco,manager,Team BikeExchange - Jayco,8,0.00,0,0.00,0,0.00,0,720.00,6,1890,1077,720.00
26,26,Luis León Sánchez,support,Bahrain Victorious,5.5,0.00,0,128.00,3,72.00,2,520.00,21,1404,796,720.00
28,28,Chris Froome,support,Israel - Premier Tech,5.5,0.00,0,24.00,1,240.00,2,360.00,17,3210,2526,704.00
28,28,Yves Lampaert,support,Quick-Step Alpha Vinyl Team,5.5,0.00,1,24.00,1,0.00,0,560.00,21,13805,7343,704.00
