Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
-,-,Jonas Vingegaard,captain,Jumbo-Visma,11.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tadej Pogačar,captain,UAE Team Emirates,11.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Wout Van Aert,sprinter,Jumbo-Visma,11.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jumbo-Visma,manager,Jumbo-Visma,11,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Fabio Jakobsen,sprinter,Soudal Quick-Step,11,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jai Hindley,captain,BORA-Hansgrohe,10.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,UAE Team Emirates,manager,UAE Team Emirates,10.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Enric Mas,captain,Movistar Team,10.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jasper Philipsen,sprinter,Alpecin-Deceuninck,10.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Caleb Ewan,sprinter,Lotto Dstny,10.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Sam Bennett,sprinter,BORA-Hansgrohe,10,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alpecin-Deceuninck,manager,Alpecin-Deceuninck,10,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Richard Carapaz,captain,EF Education-EasyPost,9.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Ben O'Connor,captain,AG2R Citroën Team,9.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,BORA-Hansgrohe,manager,BORA-Hansgrohe,9.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,INEOS Grenadiers,manager,INEOS Grenadiers,9.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Simon Yates,captain,Team Jayco Alula,9.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Egan Bernal,captain,INEOS Grenadiers,9.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dylan Groenewegen,sprinter,Team Jayco Alula,9.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Romain Bardet,captain,Team DSM,9.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mikel Landa,captain,Bahrain - Victorious,9.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,David Gaudu,captain,Groupama - FDJ,9.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Biniam Girmay,sprinter,Intermarché - Circus - Wanty,9.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Soudal-Quick Step,manager,Soudal Quick-Step,9.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mark Cavendish,sprinter,Astana Qazaqstan Team,9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Movistar Team,manager,Movistar Team,8.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Groupama-FDJ,manager,Groupama - FDJ,8.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mads Pedersen,sprinter,Trek - Segafredo,8.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Warren Barguil,captain,Team Arkea Samsic,8.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Guillaume Martin,captain,Cofidis,8.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Louis Meintjes,captain,Intermarché - Circus - Wanty,8.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Adam Yates,climber,UAE Team Emirates,8.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Christophe Laporte,sprinter,Jumbo-Visma,8.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Giulio Ciccone,climber,Trek - Segafredo,8.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mathieu Van Der Poel,support,Alpecin-Deceuninck,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Daniel Felipe Martinez,climber,INEOS Grenadiers,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Sepp Kuss,climber,Jumbo-Visma,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alexander Kristoff,sprinter,Uno-X Pro Cycling Team,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Rigoberto Uran,climber,EF Education-EasyPost,7.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Wilco Kelderman,climber,Jumbo-Visma,7.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Peter Sagan,sprinter,TotalEnergies,7.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michael Woods,climber,Israel-Premier Tech,7.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Thomas Pidcock,youth,INEOS Grenadiers,7.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Lotto Dstny,manager,Lotto Dstny,7.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Julian Alaphilippe,climber,Soudal Quick-Step,7.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mattias Skjelmose,youth,Trek - Segafredo,7.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Rafał Majka,climber,UAE Team Emirates,7.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Matej Mohoric,support,Bahrain - Victorious,7.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,AG2R Citroen Team,manager,AG2R Citroën Team,7.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Neilson Powless,climber,EF Education-EasyPost,7.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Stefan Küng,tempo,Groupama - FDJ,7.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Bryan Coquard,sprinter,Cofidis,7.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Team DSM-Firmenich,manager,Team DSM,7.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Marc Soler,climber,UAE Team Emirates,7.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Pello Bilbao,climber,Bahrain - Victorious,7.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Cees Bol,sprinter,Astana Qazaqstan Team,7.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Carlos Rodriguez,youth,INEOS Grenadiers,7.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Trek - Segafredo,manager,Trek - Segafredo,7.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Astana Qazaqstan Team,manager,Astana Qazaqstan Team,7.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Ruben Guerreiro,climber,Movistar Team,7.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Sergio Higuita,climber,BORA-Hansgrohe,7.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Bahrain-Victorious,manager,Bahrain - Victorious,7.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Luka Mezgec,sprinter,Team Jayco Alula,7.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Thibaut Pinot,climber,Groupama - FDJ,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Magnus Cort Nielsen,tempo,EF Education-EasyPost,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alexey Lutsenko,support,Astana Qazaqstan Team,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jasper Stuyven,support,Trek - Segafredo,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Team Jayco AIUIA,manager,Team Jayco Alula,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dylan Teuns,climber,Israel-Premier Tech,7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Pierre Latour,captain,TotalEnergies,6.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,EF Education-EasyPost,manager,EF Education-EasyPost,6.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Matteo Jorgenson,youth,Movistar Team,6.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Andrea Bagioli,youth,Soudal Quick-Step,6.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Fred Wright,youth,Bahrain - Victorious,6.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Ion Izagirre,climber,Cofidis,6.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alberto Bettiol,support,EF Education-EasyPost,6.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Danny Van Poppel,sprinter,BORA-Hansgrohe,6.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Bauke Mollema,climber,Trek - Segafredo,6.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Yves Lampaert,tempo,Soudal Quick-Step,6.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michał Kwiatkowski,tempo,INEOS Grenadiers,6.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Wout Poels,climber,Bahrain - Victorious,6.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Emanuel Buchmann,climber,BORA-Hansgrohe,6.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tiesj Benoot,support,Jumbo-Visma,6.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Sam Welsford,sprinter,Team DSM,6.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Israel-Premier Tech,manager,Israel-Premier Tech,6.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Oliver Naesen,support,AG2R Citroën Team,6.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Bob Jungels,tempo,BORA-Hansgrohe,6.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Intermarche-Circus-Wanty,manager,Intermarché - Circus - Wanty,6.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Juan Pedro López,climber,Trek - Segafredo,6.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Simon Clarke,support,Israel-Premier Tech,6.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jonathan Castroviejo,tempo,INEOS Grenadiers,6.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Felix Gall,youth,AG2R Citroën Team,6.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Greg Van Avermaet,support,AG2R Citroën Team,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Valentin Madouas,support,Groupama - FDJ,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Cofidis,manager,Cofidis,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Axel Zingle,youth,Cofidis,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mikkel Bjerg,tempo,UAE Team Emirates,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Anthony Turgis,support,TotalEnergies,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nils Politt,support,BORA-Hansgrohe,5.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Patrick Konrad,support,BORA-Hansgrohe,5.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Rui Costa,climber,Intermarché - Circus - Wanty,5.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Maxim Van Gils,youth,Lotto Dstny,5.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Maciej Bodnar,tempo,TotalEnergies,5.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dorian Godon,climber,AG2R Citroën Team,5.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Joe Dombrovski,climber,Astana Qazaqstan Team,5.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Clément Champoussin,youth,Team Arkea Samsic,5.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Victor Campenaerts,tempo,Lotto Dstny,5.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Torstein Træen,climber,Uno-X Pro Cycling Team,5.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,David De La Cruz,climber,Astana Qazaqstan Team,5.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Rémi Cavagna,tempo,Soudal Quick-Step,5.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nelson Oliveira,tempo,Movistar Team,5.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Team Arkea Samsic,manager,Team Arkea Samsic,5.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Benjamin Thomas,tempo,Cofidis,5.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Kevin Geniets,support,Groupama - FDJ,5.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mike Teunissen,support,Intermarché - Circus - Wanty,5.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nick Schultz,support,Israel-Premier Tech,5.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Quentin Pacher,climber,Groupama - FDJ,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nathan Van Hooydonck,tempo,Jumbo-Visma,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mauri Vansevenant,youth,Soudal Quick-Step,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Florian Vermeersch,youth,Lotto Dstny,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,TotalEnergies,manager,TotalEnergies,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,John Degenkolb,support,Team DSM,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michael Gogl,climber,Alpecin-Deceuninck,5.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Simon Geschke,climber,Cofidis,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Florian Sénéchal,support,Soudal Quick-Step,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Pascal Eenkhoorn,support,Lotto Dstny,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Corbin Strong,youth,Israel-Premier Tech,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Søren Kragh Andersen,tempo,Alpecin-Deceuninck,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michael Mørkøv,support,Soudal Quick-Step,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tony Gallopin,support,Trek - Segafredo,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Felix Großschartner,support,UAE Team Emirates,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Luke Durbridge,tempo,Team Jayco Alula,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jasper De Buyst,support,Lotto Dstny,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Edvald Boasson Hagen,support,TotalEnergies,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Uno-X Pro Cycling Team,manager,Uno-X Pro Cycling Team,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tobias Halland Johannessen,youth,Uno-X Pro Cycling Team,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Marco Haller,support,BORA-Hansgrohe,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dylan Van Baarle,support,Jumbo-Visma,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Georg Zimmermann,support,Intermarché - Circus - Wanty,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nils Eekhoff,youth,Team DSM,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alexis Vuillermoz,support,TotalEnergies,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Quinten Hermans,support,Alpecin-Deceuninck,4.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alex Edmondson,tempo,Team DSM,4.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
