Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
1,1,Felix Gall,youth,AG2R Citroën Team,6.1,0.00,1,24.00,1,832.00,7,1380.00,23,0,0,2416.00
2,2,Tadej Pogačar,captain,UAE Team Emirates,11.7,0.00,1,48.00,2,328.00,9,1464.00,26,0,0,1900.00
3,3,Giulio Ciccone,climber,Lidl-Trek,8.1,0.00,1,150.00,5,954.00,18,429.00,22,0,0,1698.00
4,4,Jonas Vingegaard,captain,Jumbo-Visma,11.8,0.00,2,12.00,1,434.00,11,1168.00,26,0,0,1694.00
5,5,Jasper Philipsen,sprinter,Alpecin-Deceuninck,10.3,0.00,1,222.00,11,0.00,0,1352.00,21,0,0,1614.00
6,6,Wout Van Aert,sprinter,Jumbo-Visma,11.3,0.00,0,68.00,3,258.00,9,916.00,19,0,0,1362.00
7,7,Adam Yates,climber,UAE Team Emirates,8.2,0.00,1,0.00,0,90.00,2,1017.00,21,0,0,1302.00
8,8,Skjelmose  Mattias Jensen,youth,Lidl-Trek,7.8,0.00,0,136.00,4,348.00,7,736.00,21,0,0,1260.00
9,9,Carlos Rodriguez Cano,youth,INEOS Grenadiers,7.3,0.00,0,0.00,0,144.00,1,1060.00,22,0,0,1244.00
10,10,Pello Bilbao Lopez,climber,Bahrain - Victorious,7.4,0.00,0,39.00,1,81.00,2,1038.00,21,0,0,1218.00
11,11,Tobias Halland Johannessen,youth,Uno-X Pro Cycling Team,5,0.00,0,24.00,1,376.00,5,808.00,21,0,0,1208.00
12,12,Matej Mohoric,support,Bahrain - Victorious,7.6,0.00,0,136.00,2,168.00,2,768.00,21,0,0,1152.00
13,13,Neilson Powless,climber,EF Education-EasyPost,7.6,0.00,2,153.00,5,450.00,18,296.00,22,0,0,1094.00
14,14,Thibaut Pinot,climber,Groupama - FDJ,7,0.00,0,78.00,4,198.00,6,686.00,23,0,0,1037.00
15,15,Thomas Pidcock,youth,INEOS Grenadiers,7.8,0.00,0,0.00,0,168.00,3,780.00,21,0,0,1028.00
16,16,Mads Pedersen,sprinter,Lidl-Trek,8.5,0.00,0,262.00,9,12.00,1,752.00,21,0,0,1026.00
17,17,Mathieu Burgaudeau,youth,TotalEnergies,5.5,0.00,0,96.00,3,72.00,1,842.00,22,0,0,1010.00
18,18,Michał Kwiatkowski,tempo,INEOS Grenadiers,6.5,0.00,0,108.00,5,252.00,2,498.00,21,0,0,963.00
19,19,Michael Woods,climber,Israel-Premier Tech,7.9,0.00,0,81.00,3,252.00,2,627.00,21,0,0,960.00
20,20,Simon Yates,captain,Team Jayco Alula,9.5,0.00,0,0.00,0,172.00,6,762.00,23,0,0,934.00
20,20,Mathieu Van Der Poel,support,Alpecin-Deceuninck,8,0.00,0,292.00,9,108.00,2,274.00,22,0,0,934.00
22,22,Alpecin-Deceuninck,manager,Alpecin-Deceuninck,10,0.00,0,0.00,0,0.00,0,920.00,8,0,0,920.00
23,23,Bahrain-Victorious,manager,Bahrain - Victorious,7.1,0.00,0,0.00,0,0.00,0,900.00,10,0,0,900.00
24,24,Jai Hindley,captain,BORA-Hansgrohe,10.7,0.00,1,0.00,0,114.00,5,678.00,22,0,0,852.00
24,24,Matteo Jorgenson,youth,Movistar Team,6.8,0.00,0,80.00,3,140.00,3,532.00,16,0,0,852.00
26,26,Maxim Van Gils,youth,Lotto Dstny,5.8,0.00,0,68.00,1,204.00,2,568.00,21,0,0,840.00
27,27,Jumbo-Visma,manager,Jumbo-Visma,11,0.00,0,0.00,0,0.00,0,820.00,12,0,0,820.00
28,28,UAE Team Emirates,manager,UAE Team Emirates,10.5,0.00,0,0.00,0,0.00,0,800.00,7,0,0,800.00
29,29,Bryan Coquard,sprinter,Cofidis,7.5,0.00,0,272.00,11,0.00,0,484.00,21,0,0,796.00
30,30,Kasper Asgreen,tempo,Soudal Quick-Step,7.2,0.00,0,132.00,4,9.00,1,648.00,21,0,0,789.00
31,31,Krists Neilands,support,Israel-Premier Tech,4.3,0.00,0,112.00,4,108.00,6,422.00,22,0,0,782.00
32,32,Jonas Abrahamsen,support,Uno-X Pro Cycling Team,4,0.00,0,264.00,7,36.00,3,478.00,22,0,0,778.00
33,33,Georg Zimmermann,support,Intermarché - Circus - Wanty,4.9,0.00,0,108.00,3,60.00,2,576.00,21,0,0,744.00
34,34,Wout Poels,climber,Bahrain - Victorious,6.5,0.00,0,30.00,1,180.00,5,435.00,21,0,0,705.00
35,35,Victor Campenaerts,tempo,Lotto Dstny,5.7,0.00,0,174.00,5,9.00,1,272.00,22,0,0,680.00
36,36,Jordi Meeus,sprinter,BORA-Hansgrohe,7.7,0.00,0,154.00,9,0.00,0,486.00,21,0,0,660.00
37,37,Pascal Eenkhoorn,support,Lotto Dstny,5.2,0.00,0,148.00,2,36.00,2,468.00,21,0,0,652.00
38,38,Corbin Strong,youth,Israel-Premier Tech,5.2,0.00,0,104.00,4,0.00,0,504.00,21,0,0,648.00
39,39,Dylan Groenewegen,sprinter,Team Jayco Alula,9.4,0.00,0,30.00,3,0.00,0,594.00,21,0,0,624.00
40,40,Victor Lafay,climber,Cofidis,6.5,0.00,1,45.00,1,0.00,0,477.00,19,0,0,612.00
41,41,Julian Alaphilippe,climber,Soudal Quick-Step,7.8,0.00,0,216.00,6,153.00,4,207.00,21,0,0,606.00
42,42,Tiesj Benoot,support,Jumbo-Visma,6.5,0.00,0,108.00,3,12.00,1,424.00,21,0,0,584.00
43,43,Alexey Lutsenko,support,Astana Qazaqstan Team,7,0.00,0,128.00,4,148.00,3,292.00,21,0,0,568.00
43,43,James Shaw,support,EF Education-EasyPost,4.2,0.00,0,36.00,2,184.00,3,348.00,13,0,0,568.00
45,45,Ruben Guerreiro,climber,Movistar Team,7.2,0.00,0,12.00,1,270.00,4,285.00,13,0,0,567.00
46,46,Ion Izagirre Insausti,climber,Cofidis,6.7,0.00,0,54.00,2,45.00,1,429.00,22,0,0,558.00
47,47,Simon Guglielmi,support,Team Arkea Samsic,4,0.00,0,148.00,2,12.00,1,282.00,22,0,0,542.00
48,48,Team Jayco AIUIA,manager,Team Jayco Alula,7,0.00,0,0.00,0,0.00,0,540.00,9,0,0,540.00
49,49,Phil Bauhaus,sprinter,Bahrain - Victorious,7.6,0.00,0,0.00,0,0.00,0,488.00,16,0,0,528.00
49,49,Emanuel Buchmann,climber,BORA-Hansgrohe,6.5,0.00,0,15.00,1,108.00,2,345.00,21,0,0,528.00
51,51,Clement Berthet,support,AG2R Citroën Team,4.1,0.00,0,28.00,1,48.00,1,396.00,21,0,0,512.00
52,52,Jonas Gregaard Wilsy,support,Uno-X Pro Cycling Team,3.9,0.00,0,156.00,3,32.00,2,310.00,22,0,0,498.00
53,53,AG2R Citroen Team,manager,AG2R Citroën Team,7.6,0.00,0,0.00,0,0.00,0,480.00,7,0,0,480.00
54,54,Sepp Kuss,climber,Jumbo-Visma,8,0.00,0,0.00,0,45.00,2,402.00,21,0,0,477.00
55,55,Daniel Felipe Martinez Poveda,climber,INEOS Grenadiers,8,0.00,0,33.00,1,207.00,5,159.00,14,0,0,459.00
56,56,Ben O'Connor,captain,AG2R Citroën Team,9.8,0.00,0,6.00,1,18.00,2,404.00,22,0,0,448.00
56,56,Guillaume Martin,captain,Cofidis,8.4,0.00,0,56.00,3,24.00,3,328.00,22,0,0,448.00
58,58,Alex Aranburu Deba,support,Movistar Team,6,0.00,0,68.00,1,12.00,1,360.00,21,0,0,440.00
59,59,Jack Haig,climber,Bahrain - Victorious,6.9,0.00,0,66.00,2,84.00,4,192.00,21,0,0,432.00
60,60,Biniam Girmay,sprinter,Intermarché - Circus - Wanty,9.2,0.00,0,120.00,7,0.00,0,306.00,21,0,0,426.00
61,61,Rafał Majka,climber,UAE Team Emirates,7.7,0.00,0,0.00,0,36.00,1,297.00,21,0,0,423.00
62,62,Cofidis,manager,Cofidis,6,0.00,0,0.00,0,0.00,0,420.00,5,0,0,420.00
63,63,Mark Cavendish,sprinter,Astana Qazaqstan Team,9,0.00,0,96.00,6,0.00,0,320.00,7,0,0,416.00
64,64,Dylan Teuns,climber,Israel-Premier Tech,7,0.00,0,39.00,1,0.00,0,345.00,21,0,0,414.00
65,65,Matis Louvel,youth,Team Arkea Samsic,4.5,0.00,0,100.00,2,12.00,1,300.00,21,0,0,412.00
66,66,Warren Barguil,captain,Team Arkea Samsic,8.5,0.00,0,74.00,3,90.00,5,242.00,21,0,0,406.00
67,67,Anthony Turgis,support,TotalEnergies,6,0.00,0,68.00,1,48.00,3,182.00,22,0,0,398.00
68,68,David Gaudu,captain,Groupama - FDJ,9.2,0.00,0,0.00,0,24.00,1,360.00,21,0,0,384.00
69,69,BORA-Hansgrohe,manager,BORA-Hansgrohe,9.8,0.00,0,0.00,0,0.00,0,380.00,4,0,0,380.00
69,69,INEOS Grenadiers,manager,INEOS Grenadiers,9.5,0.00,0,0.00,0,0.00,0,380.00,4,0,0,380.00
71,71,Laurent Pichon,support,Team Arkea Samsic,4.8,0.00,0,80.00,1,36.00,3,162.00,22,0,0,378.00
71,71,Lawson Craddock,tempo,Team Jayco Alula,4.6,0.00,0,27.00,2,108.00,4,243.00,21,0,0,378.00
73,73,Pierre Latour,captain,TotalEnergies,6.9,0.00,0,46.00,2,102.00,2,226.00,21,0,0,374.00
